scientific_name,common_name,reproductive_mode,sex_system,length_at_sex_change_cm_TL,age_at_sex_change_yr,sex_ratio_F_per_M,sex_ratio_note,L50_maturity_cm_TL,L95_maturity_cm_TL,L50_male_cm_TL,L50_female_cm_TL,LD50_sexchange_cm_TL,LD95_sexchange_cm_TL,Linf_cm_TL,K_per_yr,M_per_yr,M_over_K,CVLinf,FecB,M_estimated,K_estimated,fecundity,spawning_season,ogive_maturity_source,growth_mortality_source,confidence_note,a,b,lw_src
Sparus aurata,Gilthead seabream,Protandrous,protandry,"20-40 (variable, socially controlled; S Med)",~2,4.0,captive broodstock (M ~20%); no wild ratio,20.0,24.0,20.0,NA,30.0,33.0,39.4,0.16,0.25,1.56,0.1,3.0,FALSE,FALSE,1.48-3.10e6 eggs/kg female (captive),NA,S. Med / Atlantic (Hadj-Taieb 2013 ~18.8; Sheet 1),Mostafa 2023 (Bardawil Egypt),LD50 LOW (socially controlled 19-40cm); growth from fished lagoon,0.0112,3.052,"Kraljevic et al. 1996, Adriatic"
Diplodus sargus sargus,White seabream,Protandrous,protandry,23.5 median (12-32 overlap; E Algeria),~2-4,1.4,"F-biased, E Algeria",20.0,24.0,20.2,20.0,23.5,25.9,36.3,0.154,0.23,1.49,0.1,3.0,TRUE,FALSE,"reported (Boufekane, C Algeria)",Jan-May (peak Mar-Apr),"Boufekane 2021 (C Algeria); Benchalel 2013 (E Algeria, L50)",Benchalel 2013 (E Algeria),M estimated (M/K~1.5); LD50 median sex change,0.015,2.98,"Benchalel & Kara 2013, Algeria"
Sarpa salpa,Salema,Protandrous,protandry,28.6-40.9 (Portugal),~4-7 (M mature ~24cm/2yr),0.4,"M-biased, Canary; ~1:1 in Algeria",24.5,29.4,24.5,NA,34.0,37.4,45.1,0.14,0.21,1.5,0.1,3.0,TRUE,FALSE,462-2662 oocytes/g (Portugal),Sep-Nov (Portugal),"Paiva 2016 (Portugal, nearest); Criscoli 2006 (Italy)",Paiva 2016 (Portugal),M estimated; wide regional spread in sex change 24-41cm,0.00893,3.1055,"Pallaoro et al. 2008, Adriatic"
Pagellus acarne,Axillary seabream,Protandrous,protandry,~28 (M<28; F 28-34; Cadiz),several yr,0.6,M-biased overall; Gulf of Cadiz & Alboran,18.0,21.6,18.0,21.7,28.0,30.8,31.7,0.21,0.3,1.43,0.1,3.0,FALSE,FALSE,"173,509-290,070 oocytes (Med/Atlantic)",spring-early summer (Cadiz/Alboran),"Velasco 2010 (Gulf of Cadiz & Alboran, nearest)",Velasco 2010 (Cadiz/Alboran); M from Pajuelo 2000,HIGH: growth from the two seas flanking the Strait,0.0068,3.2401,"Pajuelo & Lorenzo 2000, Canary"
Pagellus bogaraveo,Blackspot seabream,Protandrous,protandry,~30-35 (Strait of Gibraltar),~4-6,NA,F-biased above ~25cm; Strait of Gibraltar,30.1,36.1,30.1,35.7,33.0,36.3,52.3,0.15,0.21,1.4,0.1,3.0,TRUE,FALSE,F=1028.44*exp(0.15*L) (Azores),Jan-Apr (Q1),"Gil 2001 (STRAIT OF GIBRALTAR, nearest)",Paladin 2023 (E Adriatic),M estimated; ogive from Strait (Gil 2001); empirical ogive wider than x1.10 - no females >35cm so true LD95 ~30-35,0.0172,2.9339,"Chilari et al. 2005, Ionian (cm-converted)"
Lithognathus mormyrus,Sand steenbras,Protandrous,protandry,25-32.5 (Adriatic); ~22-25 (Canary),~4-7 (M maturity ~age 2),0.85,"M-biased, Canary",20.7,24.8,20.7,24.6,27.0,29.7,35.3,0.264,0.356,1.35,0.1,3.0,FALSE,FALSE,NA,Jun-Sep (peak Aug-Sep),"Lorenzo 2002 (Canary, L50); Kraljevic 1995 (Adriatic, sex change)",Monteiro 2010 (S Portugal),HIGH: clean M and K from Algarve; sex change 25-32.5cm (Adriatic),NA,2.96,"Kallianiotis 2005, Aegean (b only)"
Pagellus erythrinus,Common pandora,Protogynous,protogyny,17-18 (Gulf of Tunis),~2-3,2.78,"F-biased, Gulf of Tunis",14.6,17.5,15.8,14.6,17.5,19.3,41.8,0.205,0.3,1.46,0.1,3.0,FALSE,FALSE,NA,Apr-Oct (peak May-Jul),Zarrad 2024 (Tunis); agrees with Pajuelo & Lorenzo 1998 (Canary),Pajuelo 1998 (Canary),HIGH: clean; sex reversal 17-18cm confirmed two regions,0.01279,3.01338,"Pajuelo & Lorenzo 1998, Canary"
Pagrus pagrus,Red porgy,Protogynous,protogyny,~25-35 (Canary),~3-6,NA,protogyny confirmed; no clean Iberian/Med ratio,22.6,27.1,26.7,22.6,28.0,30.8,51.5,0.18,0.27,1.5,0.1,3.0,TRUE,FALSE,NA,winter (SE USA),"Pajuelo & Lorenzo 1996 (Canary, Sheet 1)",Ayyildiz 2020 (N Aegean),M estimated; no Mediterranean ogive; sex ratio not cleanly reported,0.017947,2.9583,"Pajuelo & Lorenzo 1996, Canary"
Pagrus auriga,Redbanded seabream,Protogynous,protogyny,~39-53 (Canary),old fish (to 18 yr),8.0,"strongly F-biased ~8:1, Canary",38.7,46.4,53.3,38.7,45.0,49.5,80.3,0.081,0.164,2.02,0.1,3.0,FALSE,FALSE,NA,NA,Pajuelo et al. 2006 (Canary),Pajuelo 2006 (Canary),HIGH: clean; large-bodied long-lived (18yr); strongly female-biased ~8:1,0.0086,3.014,"Pajuelo et al. 2006, Canary"
Spondyliosoma cantharus,Black seabream,Protogynous,protogyny,24-25.6 (no F >35cm; W Portugal/N Aegean),~3-4 (F mature ~2 yr),3.49,"F-biased, N Aegean (Portugal ratio not given)",18.4,22.1,NA,18.4,25.0,27.5,33.2,0.21,0.47,2.24,0.1,3.0,FALSE,FALSE,"rel. 5431 oocytes/g/yr; mean 109,457 oocytes",Feb-May,"Neves 2018 (W Portugal, nearest); Daban 2022 (N Aegean)",Daban 2022 (N Aegean); Portugal M 0.26-0.37,HEADLINE: empirical M/K=2.24 NOT 1.5 default; run M/K as sensitivity; widen ogive (no females >35cm),0.00732,3.24747,"Pajuelo & Lorenzo 1999, Canary"
